  1   0.23700 0.23700      8.814  0.19850 0.19850      6.716
  2   0.29950 0.53650     17.627  0.34700 0.54550     13.433
  3   0.20300 0.73950     26.441  0.29150 0.83700     20.149
  4   0.14850 0.88800     35.254  0.10250 0.93950     26.866
  5   0.05150 0.93950     44.068  0.02950 0.96900     33.582
  6   0.02200 0.96150     52.881  0.01400 0.98300     40.298
  7   0.01600 0.97750     61.695  0.01300 0.99600     47.015
  8   0.00400 0.98150     70.508  0.00350 0.99950     53.731
  9   0.01300 0.99450     79.322  0.00000 0.99950     60.448
 10   0.00550 1.00000     88.135  0.00050 1.00000     67.164
