  1   0.06850 0.06850      0.987  0.08150 0.08150      1.755
  2   0.25200 0.32050      1.973  0.26100 0.34250      3.510
  3   0.29450 0.61500      2.960  0.30650 0.64900      5.265
  4   0.20000 0.81500      3.947  0.18700 0.83600      7.020
  5   0.11700 0.93200      4.933  0.10750 0.94350      8.775
  6   0.04950 0.98150      5.920  0.03850 0.98200     10.530
  7   0.01050 0.99200      6.907  0.00950 0.99150     12.285
  8   0.00600 0.99800      7.894  0.00550 0.99700     14.040
  9   0.00150 0.99950      8.880  0.00200 0.99900     15.795
 10   0.00050 1.00000      9.867  0.00100 1.00000     17.551
