  1   0.08150 0.08150      7.487  0.01600 0.01600      8.551
  2   0.21050 0.29200     14.975  0.06950 0.08550     17.102
  3   0.21150 0.50350     22.462  0.14050 0.22600     25.653
  4   0.17750 0.68100     29.950  0.19950 0.42550     34.204
  5   0.13900 0.82000     37.437  0.22600 0.65150     42.755
  6   0.07250 0.89250     44.925  0.20150 0.85300     51.306
  7   0.05000 0.94250     52.412  0.06750 0.92050     59.857
  8   0.03800 0.98050     59.899  0.04400 0.96450     68.408
  9   0.01450 0.99500     67.387  0.02550 0.99000     76.960
 10   0.00500 1.00000     74.874  0.01000 1.00000     85.511
