  1   0.06700 0.06700      1.982  0.04250 0.04250      3.420
  2   0.26800 0.33500      3.965  0.29450 0.33700      6.839
  3   0.22600 0.56100      5.947  0.22150 0.55850     10.259
  4   0.19350 0.75450      7.930  0.19550 0.75400     13.679
  5   0.13000 0.88450      9.912  0.12800 0.88200     17.099
  6   0.04750 0.93200     11.894  0.05150 0.93350     20.518
  7   0.02000 0.95200     13.877  0.02250 0.95600     23.938
  8   0.01900 0.97100     15.859  0.01500 0.97100     27.358
  9   0.02150 0.99250     17.842  0.02100 0.99200     30.777
 10   0.00750 1.00000     19.824  0.00800 1.00000     34.197
